en|az|pos|example|tel
break the news|xəbəri çatdırmaq|blok|I had to break the news to the team.|breyk dı nyuz
save time|vaxta qənaət etmək|blok|This script saves us two hours.|seyv taym
waste time|vaxt itirmək|blok|Do not waste time on manual work.|veyst taym
spend time on|vaxt sərf etmək|blok|We spend too much time on reports.|spend taym on
cut costs|xərcləri azaltmaq|blok|We need to cut costs this quarter.|kat kosts
add value|dəyər qatmaq|blok|Automation adds real value here.|ed velyu
How are things|işlər necədir|blok|Hi Ilyas, how are things?|hau ar sinqz
How is it going|necə gedir|blok|How is it going with the migration?|hau iz it gouinq
Long time no see|çoxdandır görüşmürük|blok|Long time no see, how have you been?|lonq taym nou si
Nice to meet you|tanış olmağıma şadam|blok|Nice to meet you in person.|nays tu mit yu
Nice talking to you|danışmaq xoş oldu|blok|Nice talking to you, speak soon.|nays tokinq tu yu
Have a good one|uğurlar|blok|Have a good one, see you Monday.|hev ı gud van
Take care|özündən muğayat ol|blok|Take care, talk to you tomorrow.|teyk keer
No worries|problem yoxdur|blok|No worries, I will handle it.|nou variz
Never mind|fikir verməyin|blok|Never mind, I found it myself.|nevır maynd
Fair enough|razıyam|blok|Fair enough, let us go with that.|feer inaf
Sounds good|yaxşı fikirdir|blok|Sounds good, let us start Monday.|saundz gud
That works for me|mənə uyğundur|blok|Tuesday at ten works for me.|det vörks for mi
Let us say|tutaq ki|blok|Let us say we have ten servers.|let as sey
More or less|az-çox|blok|The report is more or less ready.|mor or les
As a matter of fact|əslində|blok|As a matter of fact, I already fixed it.|ez ı metır ov fekt
To make a long story short|qısası|blok|To make a long story short, it failed.|tu meyk ı lonq stori şort
At the end of the day|axırda|blok|At the end of the day, security comes first.|et di end ov dı dey
Chances are|çox güman ki|blok|Chances are the disk is failing.|çansız ar
It is likely that|ehtimal ki|blok|It is likely that the cache is stale.|it iz laykli det
There is no doubt that|şübhəsiz ki|blok|There is no doubt that we need 2FA.|deer iz nou daut det
I am inclined to think|meylliyəm ki|blok|I am inclined to think it is a config issue.|ay em inklaynd tu sink
As I mentioned earlier|əvvəl qeyd etdiyim kimi|blok|As I mentioned earlier, the budget is fixed.|ez ay menşınd örliır
Going forward|bundan sonra|blok|Going forward, we will test every change.|gouinq forvırd
In the long run|uzunmüddətli perspektivdə|blok|In the long run, this saves money.|in dı lonq ran
In the short term|qısamüddətli|blok|In the short term, use the workaround.|in dı şort törm
Last but not least|sonuncu, amma az əhəmiyyətli deyil|blok|Last but not least, update the docs.|last bat not list
To sum up|yekunlaşdırsaq|blok|To sum up, we need two more weeks.|tu sam ap
