grow|böyümək (grew / grown)|v irr|The database grew fast.|grou
lose|itirmək (lost / lost)|v irr|We lost the connection.|luz
send|göndərmək (sent / sent)|v irr|I sent the file.|send
build|qurmaq (built / built)|v irr|We built the tool ourselves.|bild
understand|başa düşmək (understood)|v irr|I understood the risk.|andırstend
draw|çəkmək (drew / drawn)|v irr|He drew a diagram.|dro
break|sındırmaq (broke / broken)|v irr|The link broke.|breyk
spend|xərcləmək (spent / spent)|v irr|We spent two days on it.|spend
cut|kəsmək (cut / cut)|v irr|They cut the budget.|kat
rise|qalxmaq (rose / risen)|v irr|Prices rose last month.|rayz
drive|sürmək (drove / driven)|v irr|I drove to work.|drayv
buy|almaq (bought / bought)|v irr|I bought a new phone.|bay
wear|geyinmək (wore / worn)|v irr|He wore a suit.|veer
choose|seçmək (chose / chosen)|v irr|We chose the cheaper option.|çuz
seek|axtarmaq (sought / sought)|v irr|We sought legal advice.|sik
throw|atmaq (threw / thrown)|v irr|He threw away the old disk.|srou
catch|tutmaq (caught / caught)|v irr|We caught the error early.|keç
deal|məşğul olmaq (dealt / dealt)|v irr|I dealt with the incident.|dil
win|udmaq (won / won)|v irr|Our team won.|vin
forget|unutmaq (forgot / forgotten)|v irr|I forgot the password.|fıget
teach|öyrətmək (taught / taught)|v irr|She taught me SQL.|tiç
sell|satmaq (sold / sold)|v irr|They sold the licence.|sel
fight|döyüşmək (fought / fought)|v irr|We fought a long outage.|fayt
eat|yemək (ate / eaten)|v irr|I ate at one.|it
drink|içmək (drank / drunk)|v irr|He drank two coffees.|drinq
fall|düşmək (fell / fallen)|v irr|The server fell over.|fol
sleep|yatmaq (slept / slept)|v irr|I slept four hours.|slip
fly|uçmaq (flew / flown)|v irr|We flew to Istanbul.|flay
wake|oyanmaq (woke / woken)|v irr|I woke at six.|veyk
ride|minmək (rode / ridden)|v irr|He rode a bike to work.|rayd
shut|bağlamaq (shut / shut)|v irr|Shut the port.|şat
hit|vurmaq (hit / hit)|v irr|He hit the wrong key.|hit
hurt|incitmək (hurt / hurt)|v irr|My back hurt all day.|hört
cost|dəyəri olmaq (cost / cost)|v irr|It cost two thousand.|kost
lend|borc vermək (lent / lent)|v irr|The bank lent them money.|lend
spread|yaymaq (spread / spread)|v irr|The malware spread fast.|spred
steal|oğurlamaq (stole / stolen)|v irr|Someone stole the data.|stil
swim|üzmək (swam / swum)|v irr|I swim on Sunday.|svim
sing|oxumaq (sang / sung)|v irr|She sang very well.|sinq
ring|zəng etmək (rang / rung)|v irr|The phone rang twice.|rinq
blow|üfürmək (blew / blown)|v irr|The wind blew hard.|blou
show|göstərmək (showed / shown)|v irr|He has shown me the report.|şou
freeze|dondurmaq (froze / frozen)|v irr|The screen froze.|friz
hide|gizlətmək (hid / hidden)|v irr|He hid the file.|hayd
shoot|atəş açmaq (shot / shot)|v irr|They shot a video.|şut
sink|batmaq (sank / sunk)|v irr|The ship sank.|sinq
strike|zərbə vurmaq (struck / struck)|v irr|Lightning struck the mast.|strayk
swear|and içmək (swore / sworn)|v irr|He swore it was true.|sveer
tear|cırmaq (tore / torn)|v irr|She tore the paper.|teer
wind|burmaq (wound / wound)|v irr|Wind the cable up.|vaynd
bind|bağlamaq (bound / bound)|v irr|The contract binds both sides.|baynd
feed|yedizdirmək (fed / fed)|v irr|The script feeds the database.|fid
flee|qaçmaq (fled / fled)|v irr|They fled the country.|fli
hang|asmaq (hung / hung)|v irr|The system hung again.|henq
light|yandırmaq (lit / lit)|v irr|He lit the room.|layt
mistake|səhv etmək (mistook / mistaken)|v irr|I mistook him for the manager.|misteyk
overcome|üstün gəlmək (overcame)|v irr|We overcame the problem.|ouvırkam
prove|sübut etmək (proved / proven)|v irr|The test proved it works.|pruv
quit|tərk etmək (quit / quit)|v irr|He quit the company.|kvit
shake|silkələmək (shook / shaken)|v irr|We shook hands.|şeyk
shine|parlamaq (shone / shone)|v irr|The sun shone all day.|şayn
sweep|süpürmək (swept / swept)|v irr|The update swept away old files.|svip
withdraw|çıxarmaq (withdrew / withdrawn)|v irr|He withdrew the cash.|viddro
