en|az|pos|example
cause|səbəb olmaq|v|This causes a delay.
allow|icazə vermək|v|Allow port 443.
add|əlavə etmək|v|Add a new rule.
check|yoxlamaq|v|Check the logs.
save|yadda saxlamaq|v|Save your work.
delete|silmək|v|Delete the old files.
fix|düzəltmək|v|Fix the bug.
install|quraşdırmaq|v|Install the update.
update|yeniləmək|v|Update the firmware.
test|sınaqdan keçirmək|v|Test it before Friday.
prepare|hazırlamaq|v|Prepare the report.
manage|idarə etmək|v|I manage the IT department.
control|nəzarət etmək|v|Control the access.
protect|qorumaq|v|Protect the data.
prevent|qarşısını almaq|v|Prevent unauthorized access.
report|hesabat vermək|v|Report the incident.
solve|həll etmək|v|Solve the problem.
improve|təkmilləşdirmək|v|Improve performance.
increase|artırmaq|v|Increase the limit.
reduce|azaltmaq|v|Reduce the cost.
compare|müqayisə etmək|v|Compare both options.
avoid|qaçınmaq|v|Avoid weak passwords.
suggest|təklif etmək|v|I suggest another way.
confirm|təsdiq etmək|v|Please confirm the order.
approve|təsdiqləmək|v|The manager approved it.
require|tələb etmək|v|This requires admin rights.
provide|təmin etmək|v|We provide support.
share|paylaşmaq|v|Share the folder.
join|qoşulmaq|v|Join the meeting.
wait|gözləmək|v|Wait a moment.
sleep|yatmaq|v|I sleep six hours.
wake up|oyanmaq|phr v|I wake up at seven.
drive|sürmək|v|I drive to work.
fly|uçmaq|v|We fly to Istanbul.
travel|səyahət etmək|v|I travel twice a year.
visit|ziyarət etmək|v|Visit our office.
wear|geyinmək|v|I wear a suit at work.
cook|bişirmək|v|I cook on weekends.
clean|təmizləmək|v|Clean the desk.
wash|yumaq|v|Wash your hands.
buy|almaq|v|Buy a new monitor.
count|saymaq|v|Count the records.
measure|ölçmək|v|Measure the speed.
plan|planlaşdırmaq|v|Plan the migration.
apply|müraciət etmək / tətbiq etmək|v|Apply the changes.
accept|qəbul etmək|v|Accept the terms.
refuse|imtina etmək|v|He refused the offer.
worry|narahat olmaq|v|Don't worry about it.
enjoy|zövq almaq|v|I enjoy my work.
