en|az|pos|example|tel
counterpart|həmkar tərəf|n|Our counterpart at the bank.|kauntırpart
supplier|təchizatçı|n|A reliable supplier.|sıplayır
partner|tərəfdaş|n|Our technology partner.|partnır
subsidiary|törəmə şirkət|n|A subsidiary of the group.|sıbsidiıri
headquarters|baş ofis|n|Our headquarters is in Tehran.|hedkvortırz
branch office|filial|n|The Baku branch office.|branç ofis
reference|istinad|n|Please quote our reference number.|refrıns
subject line|mövzu sətri|n|Write a clear subject line.|sabcikt layn
recipient|alıcı|n|Add me as a recipient.|risipiınt
sender|göndərən|n|The sender is unknown.|sendır
copy|surət|n|Please copy me on the reply.|kopi
follow-up|təqib|n|A follow-up email.|folou ap
reminder|xatırlatma|n|This is a friendly reminder.|rimayndır
feedback|rəy|n|Thanks for your feedback.|fidbek
complaint|şikayət|n|We received a complaint.|kımpleynt
issue|məsələ qaldırmaq|v|The bank issued a statement.|işu
resolve|həll etmək|v|We resolved the issue.|rizolv
escalate|yuxarı qaldırmaq|v|Escalate it to the manager.|eskıleyt
approval|təsdiq|n|We need board approval.|ıpruvıl
authorize|səlahiyyət vermək|v|Only the CFO can authorize this.|osırayz
comply|riayət etmək|v|We comply with the regulation.|kımplay
mandatory|məcburi|adj|Training is mandatory.|mendıtri
optional|könüllü|adj|The second part is optional.|opşınıl
attached please find|əlavədə göndərirəm|phr|Attached please find the report.|ıteçd pliz faynd
as per|uyğun olaraq|prep|As per our agreement,|ez pör
in reply to|cavab olaraq|phr|In reply to your email of 5 May,|in riplay tu
we look forward to|gözləyirik|phr|We look forward to your reply.|vi luk forvırd tu
please do not hesitate|çəkinməyin|phr|Please do not hesitate to contact me.|pliz du not heziteyt
at your earliest convenience|ilk fürsətdə|phr|Reply at your earliest convenience.|et yor örliıst kınvinyıns
thank you in advance|əvvəlcədən təşəkkür|phr|Thank you in advance for your help.|senk yu in ıdvans
I am writing to|yazmaqda məqsədim|phr|I am writing to request access.|ay em raytinq tu
could you please|zəhmət olmasa|phr|Could you please send the file?|kud yu pliz
unfortunately|təəssüf ki|adv|Unfortunately, we cannot approve it.|anforçınıtli
however|lakin|conj|However, the risk remains.|hauevır
therefore|buna görə|conj|Therefore, we blocked the account.|deerfor
furthermore|üstəlik|adv|Furthermore, the cost is high.|fördermor
nevertheless|buna baxmayaraq|adv|Nevertheless, we agreed.|nevırdıles
on the other hand|digər tərəfdən|phr|On the other hand, it is cheaper.|on di adır hend
as soon as|kimi|conj|As soon as I hear back, I will call.|ez sun ez
in accordance with|uyğun olaraq|phr|In accordance with the policy,|in ıkordıns vid
subject to|şərti ilə|phr|Subject to approval by the board.|sabcikt tu
